Experiment	Strain	Rel_fitness
1	719	1.207196486
2	719	1.440454614
3	719	0.352348899
4	CB-1	0.352901294
4	CB-1	0.684510357
4	CB-1	0.358052608
4	CB-2	0.302220133
4	CB-2	0.614613173
4	CB-2	1.206144577
4	P1	1.849949915
4	P1	1.104526565
4	P1	1.720067048
4	P2	3.187825983
4	P2	1.813390314
4	P2	1.608374383
4	P3	2.865139513
4	P3	0.435601395
4	P3	0.325661075
4	P4	3.150257183
4	P4	2.318620065
4	P4	1.684849248
4	P5	3.843323953
4	P5	1.780241193
4	P5	4.325599872
4	P6	3.062822311
4	P6	1.435358148
4	P6	2.550884167
