Sample	Rel.fitness.Comp	Strain	Media
SSD719	0.790515014	SSD719	NaCl
SSD719	0.74851375	SSD719	NaCl
SSD719	0.673902487	SSD719	NaCl
SSD719	0.746163694	SSD719	NaCl
SSD719	0.716765936	SSD719	NaCl
SSD719	0.567356093	SSD719	NaCl
SSD719	0.691360858	SSD719	NaCl
SSD719	0.642461017	SSD719	NaCl
CN1001	1.178746785	CN1001	NaCl
CN1001	1.075300146	CN1001	NaCl
CN1001	1.090311987	CN1001	NaCl
CN1001	1.068501392	CN1001	NaCl
CN1001	1.050660319	CN1001	NaCl
CN1001	0.967877502	CN1001	NaCl
CN1001	1.050624905	CN1001	NaCl
CN1001	1.119882092	CN1001	NaCl
CN1002	1.150728649	CN1002	NaCl
CN1002	1.024739507	CN1002	NaCl
CN1002	1.112535217	CN1002	NaCl
CN1002	1.004654848	CN1002	NaCl
CN1002	0.993424449	CN1002	NaCl
CN1002	1.023139988	CN1002	NaCl
CN1002	1.106554987	CN1002	NaCl
CN1002	1.2259276	CN1002	NaCl
CN1003	1.361453556	CN1003	NaCl
CN1003	1.177842399	CN1003	NaCl
CN1003	1.125225305	CN1003	NaCl
CN1003	1.118164325	CN1003	NaCl
CN1003	0.94525092	CN1003	NaCl
CN1003	0.958766408	CN1003	NaCl
CN1003	1.097291357	CN1003	NaCl
CN1003	1.162587568	CN1003	NaCl
CN1004	1.216534653	CN1004	NaCl
CN1004	1.147813492	CN1004	NaCl
CN1004	1.236126193	CN1004	NaCl
CN1004	1.175357964	CN1004	NaCl
CN1004	1.12890351	CN1004	NaCl
CN1004	1.256045299	CN1004	NaCl
CN1004	1.160576834	CN1004	NaCl
CN1004	1.308512581	CN1004	NaCl
CN1005	1.090419388	CN1005	NaCl
CN1005	1.090261061	CN1005	NaCl
CN1005	1.163074698	CN1005	NaCl
CN1005	1.14737662	CN1005	NaCl
CN1005	1.140723975	CN1005	NaCl
CN1005	1.300804168	CN1005	NaCl
CN1005	1.171278758	CN1005	NaCl
CN1005	1.195620251	CN1005	NaCl
CN1006	0.945682552	CN1006	NaCl
CN1006	1.034572432	CN1006	NaCl
CN1006	1.021141241	CN1006	NaCl
CN1006	0.953219413	CN1006	NaCl
CN1006	1.053426143	CN1006	NaCl
CN1006	0.992011511	CN1006	NaCl
CN1006	1.074692303	CN1006	NaCl
CN1006	1.050777843	CN1006	NaCl
SSD719	2.537207051	SSD719	Beer
SSD719	0.401315379	SSD719	Beer
SSD719	1.27760856	SSD719	Beer
SSD719	0.348765781	SSD719	Beer
SSD719	1.224610248	SSD719	Beer
SSD719	0.489922086	SSD719	Beer
SSD719	2.2556822	SSD719	Beer
SSD719	1.10104527	SSD719	Beer
CB1001	1.451473645	CB1001	Beer
CB1001	2.318069442	CB1001	Beer
CB1001	0.861033841	CB1001	Beer
CB1001	1.632263478	CB1001	Beer
CB1001	2.372736379	CB1001	Beer
CB1001	3.655320151	CB1001	Beer
CB1001	2.674947271	CB1001	Beer
CB1001	2.25789235	CB1001	Beer
CB1002	4.200145503	CB1002	Beer
