Strain	Coverage
1	CB-100-1	125.238681708663
2	CB-100-2	45.5279922963777
3	CB-100-3	39.8239489226936
4	CB-100-5	75.5059460471275
5	CB-100-6	55.1895574864328
6	CC-100-1	108.4701441305
7	CC-100-2	61.8496347880464
8	CC-100-3	69.2486031410666
9	CC-100-4	60.5214330253319
10	CC-100-5	86.3110838366295
11	CC-100-6	28.0591659335296
12	CN-100-1	58.0358101688554
13	CN-100-2	52.6930306393598
14	CN-100-3	75.480703509973
15	CN-100-4	71.7079841169509
16	CN-100-5	60.3041037478401
17	CN-100-6	71.006265823559
18	CW-100-1	75.3673614909349
19	CW-100-2	40.3624445797639
20	CW-100-3	45.442515997575
21	CW-100-4	58.4516128334547
22	CW-100-5	39.5184943402732
23	CW-100-6	59.0936916119543
24	CY-100-1	59.1845476213499
25	CY-100-2	73.9629209866501
26	CY-100-3	107.665366938378
27	CY-100-4	52.486790411101
28	CY-100-5	91.9354994414092
29	CY-100-6	88.8314850257871
30	EM3	46.5442235013676
31	P1W10	138.808471834788
32	P2W10	59.2135935560697
33	P3W10	142.323540862898
34	P4W10	124.088248560557
35	P5W10	70.3678802595331
36	P6W10	66.2894633200096
37	SSD719_vitro	38.8212218762251
38	SSD719_vivo	121.494318419629
39	YSB121	65.3605580575248
