Sample	Doubling.time	EOG	Strain	Media
CB1001.Beer.R1	395.1317897	0.043749758	CB1001	Beer
CB1001.Beer.R2	389.1564596	0.036126238	CB1001	Beer
CB1001.Beer.R3	389.4334049	0.03351743	CB1001	Beer
CB1001.Beer.R4	323.9327134	0.036314656	CB1001	Beer
CB1001.Beer.R5	431.3432591	0.03321275	CB1001	Beer
CB1001.Beer.R6	366.6233904	0.03423627	CB1001	Beer
CB1001.Beer.R7	416.4419123	0.033211954	CB1001	Beer
CB1001.Beer.R8	473.6505491	0.037158417	CB1001	Beer
CB1002.Beer.R1	319.94125	0.087557942	CB1002	Beer
CB1002.Beer.R2	734.0265262	0.022799281	CB1002	Beer
CB1002.Beer.R3	498.6280703	0.038270376	CB1002	Beer
CB1002.Beer.R4	648.3736305	0.039277136	CB1002	Beer
CB1002.Beer.R5	641.2033769	0.02066025	CB1002	Beer
CB1002.Beer.R6	612.0428902	0.025251918	CB1002	Beer
CB1002.Beer.R7	754.8093306	0.038480843	CB1002	Beer
CB1002.Beer.R8	715.4877059	0.034660644	CB1002	Beer
CB1003.Beer.R1	1458.263319	0.114000792	CB1003	Beer
CB1003.Beer.R2	284.9466624	0.070945489	CB1003	Beer
CB1003.Beer.R3	192.1623153	0.084682769	CB1003	Beer
CB1003.Beer.R4	329.8690521	0.104313578	CB1003	Beer
CB1003.Beer.R5	190.206226	0.08437164	CB1003	Beer
CB1003.Beer.R6	84.42027403	0.0750491	CB1003	Beer
CB1003.Beer.R7	376.1601869	0.080909649	CB1003	Beer
CB1003.Beer.R8	364.0908155	0.077013507	CB1003	Beer
CB1004.Beer.R1	293.899983	0.087993351	CB1004	Beer
CB1004.Beer.R2	361.5267488	0.102475479	CB1004	Beer
CB1004.Beer.R3	455.8446597	0.042233005	CB1004	Beer
CB1004.Beer.R4	406.3678924	0.098546856	CB1004	Beer
CB1004.Beer.R5	834.1571816	0.035576452	CB1004	Beer
CB1004.Beer.R6	783.780145	0.069241143	CB1004	Beer
CB1004.Beer.R7	451.2470004	0.034557737	CB1004	Beer
CB1004.Beer.R8	355.5002881	0.102307097	CB1004	Beer
CB1005.Beer.R1	409.4332309	0.035076981	CB1005	Beer
CB1005.Beer.R2	445.1587935	0.090294087	CB1005	Beer
CB1005.Beer.R3	603.2087841	0.023163354	CB1005	Beer
CB1005.Beer.R4	570.1114667	0.137627481	CB1005	Beer
CB1005.Beer.R5	340.5001229	0.036798768	CB1005	Beer
CB1005.Beer.R6	452.5026446	0.066067121	CB1005	Beer
CB1005.Beer.R7	284.3801909	0.044541853	CB1005	Beer
CB1005.Beer.R8	281.2020289	0.144589339	CB1005	Beer
CB1006.Beer.R1	180.6464427	0.12958846	CB1006	Beer
CB1006.Beer.R2	258.0893452	0.137351393	CB1006	Beer
CB1006.Beer.R3	199.4828232	0.123359917	CB1006	Beer
CB1006.Beer.R4	269.342612	0.1370011	CB1006	Beer
CB1006.Beer.R5	285.9157556	0.140719353	CB1006	Beer
CB1006.Beer.R6	282.479616	0.148634986	CB1006	Beer
CB1006.Beer.R7	404.1854535	0.146762307	CB1006	Beer
CB1006.Beer.R8	276.188281	0.150109975	CB1006	Beer
CC1001.Cana.R1	115.4818889	0.440397736	CC1001	Cana
CC1001.Cana.R2	92.90701839	0.369300539	CC1001	Cana
CC1001.Cana.R3	126.9898289	0.604988965	CC1001	Cana
CC1001.Cana.R4	97.9662728	1.316421522	CC1001	Cana
CC1001.Cana.R5	141.5585332	0.715045974	CC1001	Cana
CC1001.Cana.R6	80.35364791	1.190702838	CC1001	Cana
CC1001.Cana.R7	113.8809377	0.576064038	CC1001	Cana
CC1001.Cana.R8	111.7637671	0.716132569	CC1001	Cana
CC1002.Cana.R1	87.80393111	1.179134432	CC1002	Cana
CC1002.Cana.R2	102.0026021	0.796427671	CC1002	Cana
CC1002.Cana.R3	99.14813536	0.864630425	CC1002	Cana
CC1002.Cana.R4	92.38047611	0.881032269	CC1002	Cana
CC1002.Cana.R5	125.810075	0.725256866	CC1002	Cana
CC1002.Cana.R6	145.1115027	0.633471855	CC1002	Cana
