Environment	Strain	Doubling_time	Rel.fitness.DT	EOG	Rel.Fitness.EOG	Comp.mean	Rel.Fitness.Comp
Beer	CB1001	398.2141848	1.755313681	0.035940934	0.921221783	2.15296707	1.787407295
Beer	CB1002	615.5640976	1.135528874	0.038369799	0.983477343	3.237126071	2.687483165
Beer	CB1003	410.0148564	1.704793852	0.086410816	2.214842976	3.82232427	3.173318524
Beer	CB1004	492.7904874	1.41843405	0.07161639	1.835638947	1.73928536	1.443966043
Beer	CB1005	423.3121578	1.651241982	0.072269873	1.852388728	4.0010889	3.321730085
Beer	CB1006	269.5412912	2.593260586	0.139190936	3.567679185	4.076240222	3.384121202
Cana	CC1001	110.1127369	0.679862821	0.741131773	3.76924566	7.171093806	4.945177457
Cana	CC1002	113.2645246	0.660944424	0.825933759	4.20053134	2.58135217	1.780097278
Cana	CC1003	93.06264342	0.804421121	0.964319075	4.904330946	10.48705686	7.231861498
Cana	CC1004	111.7163134	0.670104067	1.329605712	6.762104588	7.188110381	4.956912067
Cana	CC1005	105.0337445	0.712738142	1.018366117	5.179203224	15.78514292	10.88541512
Cana	CC1006	90.87190826	0.823814063	1.075714881	5.47086739	17.07333174	11.77374854
NaCl	CN1001	254.2681187	1.513127293	0.240386723	6.01727962	1.075238141	1.542378556
NaCl	CN1002	525.1153463	0.732677178	0.112073608	2.805388883	1.080213156	1.549514981
NaCl	CN1003	415.7292303	0.925458212	0.081823802	2.048185903	1.11832273	1.604181373
NaCl	CN1004	409.6558539	0.939178646	0.080024963	2.003157979	1.203733816	1.72669956
NaCl	CN1005	619.8300545	0.620718578	0.096632634	2.418875616	1.162444865	1.667472501
NaCl	CN1006	703.2130781	0.547117285	0.061025621	1.527572819	1.01569043	1.456960164
Wine	CW1001	NA	NA	NA	NA	1.369029412	5.240308583
Wine	CW1002	NA	NA	NA	NA	1.677335498	6.420428613
Wine	CW1003	NA	NA	NA	NA	1.006877319	3.854079257
Wine	CW1004	NA	NA	NA	NA	0.925326387	3.541922303
Wine	CW1005	NA	NA	NA	NA	0.826679149	3.164324887
Wine	CW1006	NA	NA	NA	NA	0.231821922	0.88735742
YPD	CY1001	140.1621233	1.921725217	1.135961861	3.907574896	2.856343562	0.974136658
YPD	CY1002	174.5682639	1.542967095	1.255793145	4.319780389	2.401882002	0.819145616
YPD	CY1003	221.2598529	1.217360869	0.880412364	3.02851475	0.164135551	0.05597732
YPD	CY1004	178.0358868	1.512914569	1.056102887	3.632869439	3.245360602	1.106808289
YPD	CY1005	197.8481781	1.361413027	1.201286782	4.132284925	7.731715364	2.636849246
YPD	CY1006	197.9948331	1.360404626	1.515384455	5.212743893	2.054057307	0.700522356
