Chromo	Max	Mid	CumMid	CumMax
1	2291499	1145749.5	1145749.5	2291499
2	1621675	810837.5	3102336.5	3913174
3	1575141	787570.5	4700744.5	5488315
4	1084805	542402.5	6030717.5	6573120
5	1814975	907487.5	7480607.5	8388095
6	1422463	711231.5	9099326.5	9810558
7	1399503	699751.5	10510309.5	11210061
8	1398693	699346.5	11909407.5	12608754
9	1186808	593404	13202158	13795562
10	1059964	529982	14325544	14855526
11	1561994	780997	15636523	16417520
12	774062	387031	16804551	17191582
13	756744	378372	17569954	17948326
14	926563	463281.5	18411607.5	18874889
