all	no_2	events
0.004406226	1	0.5
4.29074E-05	0.000107666	0.25
0.327931729	1	0.66666667
0.005146162	0.020078659	0.33333333
0.009122663	0.021517883	0.66666667
0.000213965	1	0.66666667
0.001490745	0.00355345	0.5
0.102097124	0.122954284	0.6
0.172779253	0.242074846	0.4
0.28040228	0.482068647	0.71428571
0.259092026	0.455011328	0.25
0	NA	0
0.301188904	0.602959045	0.4
0.007856182	1	0.5
0	0	0
0	NA	0
0.001780246	1	0.5
0.375750767	0.952986301	0.57142857
0.000570369	1	0.5
0.259155708	0.455207771	0.33333333
7.13318E-05	1	0.5
0	NA	0
1	1	1
0.542967124	0.776983773	0.66666667
0.06039272	0.183765666	0.33333333
1	1	1
0.292959696	0.568818432	0.33333333
0.197707211	0.291170015	0.5
1	1	1
0	NA	0
7.13318E-05	1	0.5
1	1	1
7.1347E-05	1	0.5
0	NA	0
1	1	1
