Chromosome	Strain	Coverage
cneoH99_Chr01	CB-100-1	127.420353074891
cneoH99_Chr02	CB-100-1	103.416482308639
cneoH99_Chr03	CB-100-1	140.89651798526
cneoH99_Chr04	CB-100-1	127.533262308704
cneoH99_Chr05	CB-100-1	124.269536328358
cneoH99_Chr06	CB-100-1	126.673487757976
cneoH99_Chr07	CB-100-1	127.335044476109
cneoH99_Chr08	CB-100-1	125.064501089591
cneoH99_Chr09	CB-100-1	124.28132167308
cneoH99_Chr10	CB-100-1	123.753781873113
cneoH99_Chr11	CB-100-1	137.162524194811
cneoH99_Chr12	CB-100-1	121.089760208062
cneoH99_Chr13	CB-100-1	125.459827812285
cneoH99_Chr14	CB-100-1	118.985142830402
cneoH99_Chr01	CB-100-2	46.2545508669869
cneoH99_Chr02	CB-100-2	39.0134701224845
cneoH99_Chr03	CB-100-2	52.470912963723
cneoH99_Chr04	CB-100-2	47.2399948813889
cneoH99_Chr05	CB-100-2	45.0333011630387
cneoH99_Chr06	CB-100-2	46.6030424426864
cneoH99_Chr07	CB-100-2	46.881257147711
cneoH99_Chr08	CB-100-2	45.5854196779612
cneoH99_Chr09	CB-100-2	39.2911470540084
cneoH99_Chr10	CB-100-2	44.6098975492453
cneoH99_Chr11	CB-100-2	50.6003407312179
cneoH99_Chr12	CB-100-2	44.6176327816883
cneoH99_Chr13	CB-100-2	44.7151759624835
cneoH99_Chr14	CB-100-2	44.4757488046638
cneoH99_Chr01	CB-100-3	40.1066736608904
cneoH99_Chr02	CB-100-3	33.0872208589441
cneoH99_Chr03	CB-100-3	45.1328264566709
cneoH99_Chr04	CB-100-3	40.4327547211841
cneoH99_Chr05	CB-100-3	38.8039032929282
cneoH99_Chr06	CB-100-3	40.0837833218552
cneoH99_Chr07	CB-100-3	39.9587498795422
cneoH99_Chr08	CB-100-3	39.0234641845657
cneoH99_Chr09	CB-100-3	39.5563120019409
cneoH99_Chr10	CB-100-3	38.4953459454717
cneoH99_Chr11	CB-100-3	43.6523017180128
cneoH99_Chr12	CB-100-3	38.3073063673602
cneoH99_Chr13	CB-100-3	38.3270732745046
cneoH99_Chr14	CB-100-3	42.5675692338395
