Chromosome	Cum_Position	Strain
13	17218401	CB-100-1
13	17219219	CB-100-1
14	18533161	CB-100-2
14	18564191	CB-100-2
14	18373204	CB-100-3
7	9828351	CB-100-5
7	9839460	CB-100-5
9	13232670	CB-100-5
7	10053875	CB-100-6
7	10053965	CB-100-6
10	14790164	CB-100-6
4	6358117	CC-100-1
4	6358120	CC-100-1
10	13797850	CC-100-2
10	13806840	CC-100-2
11	14868779	CC-100-2
6	9270427	CC-100-4
6	9270466	CC-100-4
1	341472	CC-100-5
1	343282	CC-100-5
7	11075194	CC-100-5
7	11076734	CC-100-5
7	11181641	CC-100-5
12	16446952	CC-100-5
12	16556164	CC-100-5
5	7029379	CC-100-6
5	7030435	CC-100-6
7	9824228	CN-100-2
7	9824240	CN-100-2
5	8363907	CN-100-3
5	6596050	CN-100-4
3	5455603	CN-100-6
7	10222981	CW-100-1
7	10227544	CW-100-1
7	11205884	CW-100-1
10	14762897	CW-100-1
11	14882198	CW-100-1
14	18473797	CW-100-1
14	18474705	CW-100-1
5	6619214	CW-100-2
5	6629818	CW-100-2
12	16458934	CW-100-6
2	3126393	CY-100-1
3	5459495	CY-100-1
6	9015199	CY-100-1
12	16664290	CY-100-1
14	17963011	CY-100-1
3	5459495	CY-100-2
4	6294601	CY-100-2
4	6296163	CY-100-2
5	6583470	CY-100-2
5	6619214	CY-100-2
5	6629818	CY-100-2
10	13798665	CY-100-2
11	14886953	CY-100-2
13	17859268	CY-100-2
6	9015199	CY-100-3
10	13806840	CY-100-3
12	17145000	CY-100-3
12	17177097	CY-100-3
3	4019135	CY-100-4
8	11250236	CY-100-4
8	11251097	CY-100-4
11	16362274	CY-100-4
3	3964075	CY-100-5
13	17217675	CY-100-6
13	17219858	CY-100-6
