Chrom	Start	End	Name
1	1	2291499	contig
2	1	1621675	contig
3	1	1575141	contig
4	1	1084805	contig
5	1	1814975	contig
6	1	1422463	contig
7	1	1399503	contig
8	1	1398693	contig
9	1	1186808	contig
10	1	1059964	contig
11	1	1561994	contig
12	1	774062	contig
13	1	756744	contig
14	1	926563	contig
1	970168	970168	centromere
2	835383	835383	centromere
3	1378287	1378287	centromere
4	708803	708803	centromere
5	1559982	1559982	centromere
6	780648	780648	centromere
7	525713	525713	centromere
8	451161	451161	centromere
9	801829	801829	centromere
10	199433	199433	centromere
11	868823	868823	centromere
12	139632	139632	centromere
13	579771	579771	centromere
14	441844	441844	centromere
