# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant
CNAG_00126	CNAG_00126	AFR92262	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
CNAG_00160	CNAG_00160	AFR92297	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_00192	CNAG_00192	AFR92328	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_00600	CNAG_00600	AFR92730	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_00734	CNAG_00734	AFR92864	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CNAG_00735	CNAG_00735	AFR92865	protein_coding	1	0	0	0	0	0	0	1	0	0	1	0	0	0
CNAG_00841	CNAG_00841	AFR92972	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_00923	CNAG_00923	AFR95206	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CNAG_01004	CNAG_01004	AFR95143	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_01004	CNAG_01004	AGV14352	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_01004	CNAG_01004	AGV14353	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_01129	CNAG_01129	AFR95017	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_01149	CNAG_01149	AFR94996	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
CNAG_01319	CNAG_01319	AFR94823	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_01346	CNAG_01346	AFR94799	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_01357	CNAG_01357	AFR94786	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_01419	CNAG_01419	AFR94723	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_01519	CNAG_01519	AFR97724	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_01573	CNAG_01573	AFR97778	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_01573	CNAG_01573	AGV14690	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_01682	CNAG_01682	AFR97886	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
CNAG_01707	CNAG_01707	AFR97910	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_01711	CNAG_01711	AFR97914	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
