Chromo	Max	Mid	CumMid	CumMax
1	2291499	1145749.5	1145749.5	2291499
2	1621675	810837.5	3102336.5	3913174
3	1575141	787570.5	4700744.5	5488315
4	1084805	542402.5	6030717.5	6573120
5	1814975	907487.5	7480607.5	8388095
6	1422463	711231.5	9099326.5	9810558
7	1399503	699751.5	10510309.5	11210061
8	1398693	699346.5	11909407.5	12608754
9	1186808	593404	13202158	13795562
10	1059964	529982	14325544	14855526
11	1561994	780997	15636523	16417520
12	774062	387031	16804551	17191582
13	756744	378372	17569954	17948326
14	942472	471236	18419562	18890798
1	2300533	1150266.5	20041064.5	21191331
2	1632307	816153.5	22007484.5	22823638
3	2105742	1052871	23876509	24929380
4	1783081	891540.5	25820920.5	26712461
5	1507550	753775	27466236	28220011
6	1438950	719475	28939486	29658961
7	1347793	673896.5	30332857.5	31006754
8	1194300	597150	31603904	32201054
9	1178688	589344	32790398	33379742
10	1085720	542860	33922602	34465462
11	1019846	509923	34975385	35485308
12	906719	453359.5	35938667.5	36392027
13	787999	393999.5	36786026.5	37180026
14	762694	381347	37561373	37942720
